Artist,Artist_id,Song,Song_id
Cream,74oJ4qxwOZvX6oSsu1DGnw,Sunshine Of Your Love,6FRwDxXsvSasw0y2eDArsz
Cream,74oJ4qxwOZvX6oSsu1DGnw,White Room,3Xls4cNOwy01dtrNXb1inG
Cream,74oJ4qxwOZvX6oSsu1DGnw,Crossroads - Live,6PUabSMXmPnZna361Wwmf7
Cream,74oJ4qxwOZvX6oSsu1DGnw,Strange Brew,3ET8TZWF5sP4SPfJK1lKun
Cream,74oJ4qxwOZvX6oSsu1DGnw,I Feel Free,62nYkaIBesfvQSSwTjPnYS
Cream,74oJ4qxwOZvX6oSsu1DGnw,Tales Of Brave Ulysses,2mKY3LWyyLYgz3aFsHQk83
Cream,74oJ4qxwOZvX6oSsu1DGnw,Badge,08xsXR637CEqbxJmpFcuSA
Cream,74oJ4qxwOZvX6oSsu1DGnw,Stormy Monday - Live,1wpS3lQFtfD2Bmdvhp0chI
Cream,74oJ4qxwOZvX6oSsu1DGnw,SWLABR,5F6sBKmwQLNktg96Qxxhyt
Cream,74oJ4qxwOZvX6oSsu1DGnw,World Of Pain,24EhnOUjhczzfm7nmvy0mM
